Calendar Year,Fishery,Species Category,Species (or group),Number of vessels with observer data ,Observed Mortalities (number),Observed Live Releases,Number of sets observed,Observed Interactions (number),Observed Interaction Rate (per set),Observed Mortality rate (per set),LATITUDE (5° cell),LONGITUDE (5° cell)
2019,S,SHK,WHALE SHARK,83,0,9,537,9,0.016759777,0,-7.5,172.5
2019,S,SHK,WHALE SHARK,98,0,10,1056,10,0.009469697,0,-7.5,177.5
2019,S,SHK,WHALE SHARK,89,1,7,810,8,0.009876543,0.001234568,-2.5,-177.5
2019,S,SHK,WHALE SHARK,97,2,38,1707,42,0.024604569,0.001171646,-2.5,-167.5
2019,S,SHK,WHALE SHARK,79,2,7,750,9,0.012,0.002666667,-2.5,-162.5
2019,S,SHK,WHALE SHARK,52,1,2,337,3,0.008902077,0.002967359,-2.5,-157.5
2019,S,SHK,WHALE SHARK,29,0,1,199,1,0.005025126,0,-2.5,-152.5
2019,S,SHK,WHALE SHARK,56,0,16,369,16,0.043360434,0,-2.5,142.5
2019,S,SHK,WHALE SHARK,97,0,29,1382,29,0.020984081,0,-2.5,147.5
2019,S,SHK,WHALE SHARK,123,0,46,1633,47,0.028781384,0,-2.5,152.5
2019,S,SHK,WHALE SHARK,121,0,36,1799,36,0.020011117,0,-2.5,157.5
2019,S,SHK,WHALE SHARK,104,0,2,542,2,0.003690037,0,-2.5,162.5
